id,group_id,permission_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
74,2,22
75,2,23
105,2,21
107,2,24
108,2,32
109,2,28
110,1,53
111,1,54
112,1,55
113,1,56
114,1,57
115,1,58
116,1,59
117,1,60
118,1,61
119,1,62
120,1,63
121,1,64
122,1,65
123,1,66
124,1,67
125,1,68
126,1,69
127,1,70
128,1,71
129,1,72
130,1,73
131,1,74
132,1,75
133,1,76
134,1,77
135,1,78
136,1,79
137,1,80
138,1,81
139,1,82
140,1,83
141,1,84
142,1,85
143,1,86
144,1,87
145,1,88
146,2,72
147,2,40
148,2,88
149,2,84
150,2,68
151,2,36
152,2,53
153,2,54
154,2,55
