id,app,name,applied
1,contenttypes,0001_initial,2024-07-31 15:18:35.842689+00
2,contenttypes,0002_remove_content_type_name,2024-07-31 15:18:36.560695+00
3,auth,0001_initial,2024-07-31 15:18:38.787776+00
4,auth,0002_alter_permission_name_max_length,2024-07-31 15:18:39.165623+00
5,auth,0003_alter_user_email_max_length,2024-07-31 15:18:39.429083+00
6,auth,0004_alter_user_username_opts,2024-07-31 15:18:39.810145+00
7,auth,0005_alter_user_last_login_null,2024-07-31 15:18:40.188305+00
8,auth,0006_require_contenttypes_0002,2024-07-31 15:18:40.559735+00
9,auth,0007_alter_validators_add_error_messages,2024-07-31 15:18:40.936023+00
10,auth,0008_alter_user_username_max_length,2024-07-31 15:18:41.329809+00
11,auth,0009_alter_user_last_name_max_length,2024-07-31 15:18:41.747579+00
12,auth,0010_alter_group_name_max_length,2024-07-31 15:18:42.378682+00
13,auth,0011_update_proxy_permissions,2024-07-31 15:18:42.630387+00
14,auth,0012_alter_user_first_name_max_length,2024-07-31 15:18:43.014616+00
15,user,0001_initial,2024-07-31 15:18:45.488539+00
16,admin,0001_initial,2024-07-31 15:18:46.565495+00
17,admin,0002_logentry_remove_auto_add,2024-07-31 15:18:46.709916+00
18,admin,0003_logentry_add_action_flag_choices,2024-07-31 15:18:47.089798+00
19,landmark,0001_initial,2024-07-31 15:18:47.762639+00
20,sessions,0001_initial,2024-07-31 15:18:48.747718+00
21,form,0001_initial,2024-07-31 15:26:34.235713+00
22,session,0001_initial,2024-07-31 15:26:34.747735+00
23,formSession,0001_initial,2024-07-31 15:26:36.110429+00
24,question,0001_initial,2024-07-31 15:26:36.87181+00
25,question,0002_alter_question_question_alter_question_question_type,2024-07-31 15:26:37.27271+00
26,question,0003_remove_question_question_type,2024-07-31 15:26:37.777006+00
27,response,0001_initial,2024-07-31 15:26:38.740135+00
28,exercise,0001_initial,2024-07-31 16:20:41.058951+00
29,landmark,0002_landmark_exercise_id,2024-07-31 16:21:23.445605+00
30,landmark,0003_rename_exercise_id_landmark_exercise,2024-07-31 16:23:24.617626+00
31,journal,0001_initial,2024-07-31 19:51:34.666451+00
32,authtoken,0001_initial,2024-08-02 15:57:17.901913+00
33,authtoken,0002_auto_20160226_1747,2024-08-02 15:57:17.947105+00
34,authtoken,0003_tokenproxy,2024-08-02 15:57:17.999866+00
35,authtoken,0004_alter_tokenproxy_options,2024-08-02 15:57:18.05388+00
36,session,0002_alter_session_end_datetime,2024-08-03 05:58:54.892261+00
37,formQuestion,0001_initial,2024-08-03 15:47:20.562595+00
38,journal,0002_journal_user_id,2024-08-04 14:28:31.460582+00
39,landmark,0004_alter_landmark_exercise,2024-08-08 08:54:18.412187+00
40,gender,0001_initial,2024-08-11 14:42:40.857226+00
41,user,0002_alter_customuser_gender,2024-08-11 14:48:36.891606+00
42,journal,0003_rename_audio_to_text_journal_journal_text,2024-08-12 07:59:41.087653+00
43,department,0001_initial,2024-08-13 16:43:52.389092+00
44,user,0003_alter_customuser_department,2024-08-13 16:48:37.557564+00
45,user,0004_customuser_login_streak,2024-08-14 19:32:27.382573+00
46,response,0002_delete_response,2024-08-22 11:26:19.922562+00
47,django_rest_passwordreset,0001_initial,2024-08-22 16:36:52.654401+00
48,django_rest_passwordreset,0002_pk_migration,2024-08-22 16:36:52.835871+00
49,django_rest_passwordreset,0003_allow_blank_and_null_fields,2024-08-22 16:36:53.477989+00
50,django_rest_passwordreset,0004_alter_resetpasswordtoken_user_agent,2024-08-22 16:36:53.780927+00
51,formSession,0002_delete_formsession,2024-08-22 17:05:35.567491+00
52,landmark,0005_landmark_landmark_image_url_landmark_landmark_name,2024-08-27 10:22:43.734787+00
53,landmark,0006_alter_landmark_exercise,2024-08-28 17:41:56.31105+00
54,department,0002_department_disable,2024-08-28 18:17:30.044396+00
55,landmark,0006_rename_landmark_image_url_landmark_image_file,2024-08-28 18:23:54.817478+00
56,gender,0002_gender_disable,2024-08-28 18:43:57.838684+00
57,landmark,0007_alter_landmark_image_file,2024-08-28 19:43:30.403954+00
58,user,0005_customuser_name,2024-08-28 20:15:08.776253+00
59,exercise,0002_exercise_exercise_name,2024-08-29 04:31:20.505071+00
60,landmark,0007_alter_landmark_exercise,2024-08-29 04:31:20.57885+00
61,optionSet,0001_initial,2024-08-29 13:34:28.800023+00
62,option,0001_initial,2024-08-29 13:34:28.900085+00
63,optionSet,0002_remove_optionset_questionid,2024-08-29 17:07:45.860572+00
64,question,0004_question_optionset_question_order,2024-08-29 17:07:45.995091+00
65,question,0005_rename_formid_question_formid_and_more,2024-08-29 17:56:13.433182+00
66,landmark,0008_merge_20240831_1413,2024-08-31 14:13:38.992225+00
67,option,0002_delete_option,2024-08-31 15:33:35.0249+00
68,option,0003_initial,2024-08-31 15:34:03.294448+00
69,option,0004_option_order,2024-08-31 15:36:13.399458+00
70,landmark,0008_merge_20240901_1640,2024-09-01 08:40:37.839792+00
71,landmark,0008_merge_20240906_1255,2024-09-06 04:55:46.100196+00
72,form,0002_form_is_compulsory_form_is_postsession_and_more,2024-09-10 11:32:47.460333+00
73,landmark,0008_merge_20240910_1132,2024-09-10 11:32:47.481084+00
74,landmark,0008_merge_20240910_1135,2024-09-10 11:36:02.532179+00
75,landmark,0006_alter_landmark_exercise_and_more,2024-09-10 11:47:06.817026+00
76,question,0006_remove_question_id_question_questionid,2024-09-10 16:56:41.658848+00
77,exercise,0003_alter_exercise_description,2024-09-10 17:20:02.411472+00
78,landmark,0008_merge_20240910_1718,2024-09-10 17:20:02.43369+00
79,landmark,0006_landmark_landmark_description_and_more,2024-09-10 17:22:35.748408+00
80,formQuestion,0002_alter_formquestion_unique_together,2024-09-11 08:55:02.30991+00
81,emotion,0001_initial,2024-09-11 09:25:15.854504+00
82,color,0001_initial,2024-09-11 09:35:17.340298+00
83,emotion,0002_emotion_colorid,2024-09-11 09:39:17.823216+00
84,emotion,0003_rename_parentid_emotion_parentid,2024-09-11 09:50:52.536175+00
85,emotion,0004_alter_emotion_value,2024-09-11 09:55:29.514859+00
86,journal,0004_alter_journal_emotion_id,2024-09-11 10:10:34.534432+00
87,exercise,0003_alter_exercise_audio_url,2024-09-11 14:46:42.019573+00
88,journal,0005_journal_title,2024-09-11 18:52:10.941242+00
89,landmark,0007_merge_20240912_0543,2024-09-12 05:54:28.80811+00
90,userSession,0001_initial,2024-09-12 06:01:39.845546+00
91,journalEmotion,0001_initial,2024-09-12 08:38:11.314339+00
92,journal,0006_remove_journal_emotion_id,2024-09-12 08:45:01.759611+00
93,journalEmotion,0002_alter_journalemotion_unique_together,2024-09-12 08:48:16.157935+00
94,journal,0007_journal_emotion_id,2024-09-12 08:56:03.753999+00
95,journal,0008_alter_journal_emotion_id,2024-09-12 09:02:52.864597+00
96,exercise,0004_merge_20240923_1730,2024-09-23 17:30:52.091382+00
97,exercise,0001_initial_squashed_0004_merge_20240923_1730,2024-09-23 17:54:00.658582+00
98,form,0001_initial_squashed_0002_form_is_compulsory_form_is_postsession_and_more,2024-09-23 17:54:00.67968+00
99,formQuestion,0001_initial_squashed_0002_alter_formquestion_unique_together,2024-09-23 17:54:00.691393+00
100,department,0001_initial_squashed_0002_department_disable,2024-09-23 17:54:00.700963+00
101,emotion,0001_initial_squashed_0004_alter_emotion_value,2024-09-23 17:54:00.712472+00
102,color,0001_initial_squashed_0001_initial,2024-09-23 17:54:00.74569+00
103,landmark,0001_initial_squashed_0007_merge_20240912_0543,2024-09-23 18:30:52.134192+00
104,formSession,0001_initial_squashed_0002_delete_formsession,2024-09-23 18:30:52.142448+00
105,journal,0001_initial_squashed_0008_alter_journal_emotion_id,2024-09-23 18:30:52.157151+00
106,gender,0001_initial_squashed_0002_gender_disable,2024-09-23 18:30:52.165303+00
107,optionSet,0001_initial_squashed_0002_remove_optionset_questionid,2024-09-23 18:30:52.17297+00
108,option,0001_initial_squashed_0001_initial,2024-09-23 18:30:52.181608+00
109,emotion,0005_alter_emotion_colorid,2024-09-23 18:41:48.340887+00
110,exercise,0005_alter_exercise_description,2024-09-23 18:41:48.429363+00
111,journal,0009_alter_journal_title_alter_journal_user_id,2024-09-23 18:41:48.545269+00
112,user,0006_alter_customuser_name,2024-09-23 18:41:48.573408+00
113,user,0001_initial_squashed_0005_customuser_name,2024-09-23 18:41:48.602634+00
114,question,0001_initial_squashed_0003_remove_question_question_type,2024-09-23 18:41:48.610965+00
115,session,0001_initial_squashed_0002_alter_session_end_datetime,2024-09-23 18:41:48.622392+00
116,question,0007_remove_question_optionset,2024-09-23 19:27:35.808823+00
117,question,0001_initial_squashed_0007_remove_question_optionset,2024-09-23 19:27:35.869634+00
118,question,0008_question_optionset,2024-09-23 19:30:19.50906+00
