id,value,OptionSetID_id,description
6,4,2,Extremely Tired
7,3,2,Very Tired
8,2,2,Moderately Tired
9,1,2,Slightly Tired
10,0,2,Not Tired At All
59,0,28,Not Stress At All
60,1,28,Slightly Stressedws
61,3,28,Very Stressed
62,4,28,Extremely Stressed
63,2,28,Moderately Stressed
104,0,37,Very Unlikely
105,2,37,Neutral
106,1,37,Unlikely
107,3,37,Likely
108,4,37,Very Likely
509,0,119,Very Bad
510,1,119,Bad
511,2,119,Neutral
512,3,119,Good
513,4,119,Very Good
604,0,3,Never
605,1,3,Rarely
606,2,3,Sometimes
607,3,3,Often
608,4,3,Always
